BinLow,inlet,small,middle,large
44.64,0,0,0,0
44.75,0,0,0,0
44.86,0,0,0,0
44.96,0,0,0,0
45.07,0,0,0,0
45.18,0,0,0,0
45.29,0,0,0,0
45.39,0,0,0,0
45.5,0,0,0,0
45.61,0,0,0,0
45.71,0,0,0,0
45.82,0,0,0,0
45.93,0,0,0,0
46.04,0,0,0,0
46.14,0,0,0,0
46.25,0,0,0,0
46.36,0,0,0,0
46.46,0,0,0,0
46.57,0,0,0,0
46.68,0,0,0,0
46.79,0,0,0,0
46.89,0,0,0,0
47,0,0,0,0
47.11,0,0,0,0
47.21,0,0,0,0
47.32,0,0,0,0
47.43,0,0,0,0
47.54,0,0,0,0
47.64,0,0,0,0
47.75,0,0,0,0
47.86,0,0,0,0
47.96,0,0,0,0
48.07,0,0,0,0
48.18,0,0,0,0
48.29,0,0,0,0
48.39,0,0,0,0
48.5,0,0,0,0
48.61,0,0,0,0
48.71,0,0,0,0
48.82,0,0,0,0
48.93,0,0,0,0
49.04,0,0,0,0
49.14,0,0,0,0
49.25,0,0,0,0
49.36,0,0,0,0
49.46,0,0,0,0
49.57,0,0,0,0
49.68,0,0,0,0
49.79,0,0,0,0
49.89,0,0,0,0
50,0,0,0,0
